DAUID,revenu_median,Nombre_ménages_faible_revenu,Pourcentage_population_active_15_64_ans,nombre_pop_total
"24660950",65000,10,65,616
"24660934",57600,5,66,489
"24660942",40000,10,69,785
"24660939",55600,15,62,368
"24660933",54400,0,73,445
"24660940",42800,10,68,634
"24660911",59200,5,61,452
"24660912",57600,5,62,532
"24660913",77000,10,63,365
"24660920",42800,20,64,438
"24660914",50000,5,68,384
"24660910",63200,0,68,469
"24660909",60000,15,65,490
"24660924",72500,5,68,797
"24660927",60000,10,67,674
"24660922",43600,15,65,537
"24660925",48800,5,66,695
"24660892",72000,5,69,525
"24660915",56000,5,69,798
"24660921",38400,35,59,650
"24660919",56000,5,66,540
"24660918",59600,5,73,495
"24663395",54800,15,72,685
"24660926",60000,5,66,694
"24663390",54000,15,73,918
"24663389",47200,5,73,532
"24660923",47200,20,61,687
"24660917",54800,5,57,683
"24660893",78500,5,70,508
"24662182",48800,10,69,546
"24660815",51200,5,68,544
"24663385",52800,5,68,484
"24663384",56000,5,77,683
"24662183",46400,5,67,276
"24660813",49600,5,72,640
"24660818",47600,5,71,749
"24660814",62800,10,67,587
"24660816",38400,40,62,821
"24660821",89000,5,67,650
"24660820",112000,0,63,508
"24660832",132000,0,64,416
"24660830",122000,5,58,575
"24660823",47600,10,77,488
"24663383",53200,5,71,643
"24660812",72000,10,73,1321
"24663256",99000,10,63,994
"24660829",123000,5,65,567
"24661022",56000,10,62,398
"24661024",45600,5,64,482
"24661189",69500,5,71,737
"24663180",104000,0,61,499
"24663181",93000,0,67,435
"24662344",106000,0,63,475
"24662343",97000,0,69,448
"24663166",67000,20,26,3084
"24663172",120000,5,66,741
"24662348",97000,0,56,475
"24662347",95000,5,57,360
"24663161",103000,0,65,386
"24662349",94000,5,64,470
"24662356",102000,0,65,427
"24663173",116000,5,66,516
"24663269",79000,0,67,888
"24662346",112000,5,66,441
"24663164",75500,25,57,1119
"24663162",103000,0,64,435
"24662345",123000,0,59,466
"24663160",93000,5,61,530
"24663167",87000,0,62,543
"24662267",92000,0,67,637
"24662423",97000,5,66,439
"24662274",109000,0,65,531
"24662422",97000,0,64,712
"24662273",85000,0,64,504
"24662269",107000,5,72,1210
"24662271",96000,5,64,742
"24663159",85000,5,56,478
"24662270",81000,10,66,525
"24662272",65500,5,70,895
"24663151",85000,10,54,1191
"24662421",71000,5,68,573
"24663152",125000,10,37,589
"24663153",81000,5,53,267
"24662405",50000,20,67,1354
"24663295",73500,5,63,903
"24662398",76500,20,59,1394
"24662404",74000,5,65,980
"24663154",99000,0,59,529
"24663155",119000,5,65,446
"24662397",108000,15,61,1041
"24662366",114000,5,60,576
"24662395",103000,0,55,465
"24662367",114000,5,63,676
"24662400",77000,5,65,777
"24662408",108000,5,62,675
"24662409",92000,0,59,617
"24662399",61600,10,64,810
"24662394",59600,25,52,826
"24663156",128000,5,68,680
"24663049",56800,20,64,988
"24663036",66500,25,64,1932
"24663041",95000,5,69,443
"24663053",48000,45,51,1276
"24663039",97000,0,69,457
"24663037",111000,5,64,437
"24662350",82000,0,58,338
"24663052",99000,0,68,438
"24663023",91000,5,66,434
"24662351",,,67,214
"24663050",32400,105,51,930
"24663040",111000,0,62,482
"24663022",83000,5,67,394
"24662352",87000,0,57,574
"24663035",69000,10,63,619
"24663024",88000,5,60,374
"24662353",58400,20,57,1291
"24663034",65000,25,55,1085
"24662376",91000,0,64,436
"24662377",89000,0,65,505
"24663028",85000,5,64,699
"24663032",128000,0,70,607
"24662403",81000,5,65,612
"24662410",93000,0,54,358
"24662420",64500,5,62,392
"24662411",49600,20,71,1110
"24662412",62000,15,66,715
"24662415",75500,0,63,466
"24662419",65000,5,60,458
"24662414",76500,0,65,574
"24662992",67500,5,60,476
"24662418",84000,0,65,372
"24662417",71000,5,71,1072
"24662416",74500,5,66,725
"24662998",76000,5,64,840
"24662999",71000,0,68,362
"24662994",64000,10,66,950
"24663270",58000,25,60,1121
"24662993",50400,5,62,337
"24662989",90000,0,61,370
"24662997",45600,15,71,793
"24662995",81000,5,66,446
"24662996",99000,5,62,427
"24662988",88000,5,70,708
"24662390",99000,0,62,467
"24663026",84000,0,65,689
"24663051",67500,10,62,780
"24663027",94000,0,67,452
"24662370",106000,0,57,509
"24662371",93000,5,66,474
"24663025",84000,5,61,459
"24662388",97000,0,58,565
"24662389",99000,0,62,512
"24662387",44000,35,69,1364
"24663017",69000,10,66,981
"24662402",67000,0,68,357
"24662401",94000,10,59,901
"24662393",116000,0,56,390
"24662396",111000,0,60,539
"24663001",101000,0,66,364
"24662392",46800,5,62,721
"24663002",92000,0,65,696
"24662413",73500,5,67,267
"24663000",88000,5,64,392
"24662391",79000,5,63,839
"24663006",97000,0,59,439
"24663004",88000,0,64,424
"24663003",102000,5,65,1186
"24663007",101000,5,60,400
"24663005",94000,15,60,451
"24663008",92000,0,62,471
"24663015",52000,10,58,743
"24663016",67500,0,73,370
"24663014",86000,0,68,629
"24663141",70000,5,61,873
"24663419",75000,5,68,467
"24663423",116000,0,67,1089
"24662987",100000,5,64,718
"24663042",92000,0,63,335
"24663038",84000,5,68,536
"24663033",151000,5,72,1309
"24662354",89000,5,61,319
"24662375",60800,5,70,640
"24663029",96000,0,64,628
"24662378",91000,5,66,440
"24663138",60000,30,63,1221
"24662374",93000,0,64,370
"24663030",144000,5,70,1244
"24662355",50800,10,67,532
"24663139",72000,10,62,907
"24662373",96000,0,73,476
"24662357",59600,5,64,812
"24662372",93000,5,65,508
"24663031",105000,5,61,430
"24662362",104000,0,65,329
"24662385",85000,0,68,678
"24662358",71000,10,64,1117
"24663294",110000,0,62,471
"24662386",102000,0,68,914
"24662365",133000,0,59,342
"24662363",143000,5,70,380
"24662368",111000,0,61,727
"24662369",92000,0,58,409
"24662359",92000,0,70,413
"24662364",130000,0,63,465
"24663157",93000,0,65,510
"24663158",90000,0,61,425
"24660804",97000,0,62,645
"24660803",96000,0,53,394
"24660801",102000,0,54,481
"24662434",102000,0,53,499
"24662433",49600,5,66,610
"24660743",47600,10,73,385
"24660742",46000,5,75,337
"24660741",37200,30,69,1737
"24660755",44000,60,60,1313
"24660636",66500,10,69,548
"24660805",48000,10,61,577
